,geoid,Under 18,18 to 24 years,25-45 years,45-65 years,65 older,Male,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Mixed Races,Estimate Management business science and arts,Estimate Service,Estimate Sales and office,Estimate Natural resources construction and maintenance,Estimate Production transportation and material moving,Median_income,Total
244,14000US27053105100,533,87,810,958,495,1507,2574,54,0,44,0,18,386,1201,232,280,9,28,121008,2883
245,14000US27053105201,159,240,1275,697,577,1509,2453,112,0,195,0,57,262,1403,198,332,69,90,62407,2948
246,14000US27053105204,254,237,1226,601,375,1497,1509,764,9,125,0,37,498,582,527,334,6,165,23400,2693
247,14000US27053105400,222,974,1355,779,146,1982,2069,900,67,292,0,31,234,1031,553,404,61,205,40000,3476
248,14000US27053105500,438,264,1744,885,565,2093,3285,137,0,135,0,109,460,1939,229,371,26,104,81354,3896
249,14000US27053105600,278,490,2246,1028,425,2382,3521,486,5,272,0,40,286,1989,496,716,46,202,44569,4467
250,14000US27053105700,72,482,1322,693,169,1522,1562,737,44,88,0,22,570,653,574,447,71,157,23936,2738
251,14000US27053106000,843,308,971,582,359,1374,544,1745,257,98,0,359,120,312,392,181,89,256,18225,3063
252,14000US27053106200,921,414,1667,718,364,2265,1468,2468,15,77,0,11,90,956,562,326,74,214,30179,4084
253,14000US27053106400,266,90,640,443,433,880,1004,813,5,20,0,0,60,563,134,140,18,153,31563,1872
254,14000US27053106500,514,241,1348,1199,953,2056,3897,48,8,178,14,41,138,1953,53,519,10,80,106569,4255
255,14000US27053106600,315,229,1099,580,429,1129,2317,5,8,79,0,67,352,1281,121,294,41,35,98750,2652
256,14000US27053106700,212,534,2776,742,321,2724,3862,319,7,148,0,75,348,1902,576,1017,75,83,55878,4585
257,14000US27053106900,208,757,1058,437,142,1305,1788,515,54,148,0,9,176,727,356,323,44,144,34453,2602
258,14000US27053107000,698,451,2033,724,106,2518,2236,775,36,89,0,683,386,1037,546,397,137,548,42583,4012
259,14000US27053107400,490,58,788,457,176,1024,1078,365,136,34,0,266,180,437,239,141,66,171,50050,1969
260,14000US27053107500,297,127,710,503,263,930,1665,64,25,40,0,28,156,720,183,186,60,55,66500,1900
261,14000US27053107600,749,253,1047,1055,597,1740,3014,36,31,190,0,317,226,1199,335,439,73,238,76029,3701
262,14000US27053108000,224,498,1583,586,373,1767,3025,56,24,75,0,0,168,1937,179,417,21,150,80511,3264
263,14000US27053108600,731,246,1364,506,151,1588,1863,485,83,26,0,469,144,626,458,340,75,303,50398,2998
264,14000US27053108700,949,162,1392,849,488,1992,2485,674,116,148,28,79,620,970,245,413,86,297,62304,3840
265,14000US27053108800,412,109,1544,1053,335,1903,2259,628,31,142,0,231,324,872,500,335,136,211,45991,3453
266,14000US27053108900,420,50,677,775,319,1136,1854,108,30,43,0,0,412,840,178,151,25,168,78519,2241
267,14000US27053109000,274,42,457,672,273,839,1600,22,0,26,0,24,92,768,90,174,30,20,90114,1718
268,14000US27053109100,475,407,2300,1072,608,2283,4456,143,0,126,0,0,274,2443,430,618,83,34,84458,4862
